question,answer
결제일변경이 가능한가요?,타고PAY 플러스 상품은 결제일자가 매월 21일로 고정되어있어요.(변경불가)
스마트케어IoT 단말기를 탈거했어요/파손됐어요,고객님꼐서 임의로 lot 단말기를 탈거/회손한 경우 추가요금이 부가될수 있어요.
방문점검 서비스 횟수에 제한이 있나요?,타고PAY플러스 기본장비 서비스는 지정된 서비스주기에 맞추어 방문점검을 제공해드리는 서비스에요.
방문점검 서비스 절차는 어떻게 되나요?,서비스제공주기가 되면 SK렌터카에서 고객님께 서비스 예약안내를 드려요.
정비 서비스 절차는 어떻게 되나요?,기본/고급 중 선택하실 수 있습니다.
사고시 자기부담금은 얼마인가요?,사고가 발생하면 사고건당 자기부담금을 납부해야 해요.
초과 주행거리에 따른 추가 요금은 언제부터 부과되나요?,선택한 요금제(5000km/ 7000km)와 계약기간(12/18/24개월) 그리고 이용하신 마일리지에 따라 다르게 부과돼요. 사고가 발생했어요. 
사고 조치 및 수리를 위해 이동한 거리는 주행거리에 포함 되나요?,타고PAY 플러스 상품은 사고 이후 사고조치/수리를 위해 이동한 주행거리가 발생한 고객분들께 사고 1건당 최대 100kr에 해당하는 주행거리를 차감해 드려요. 
자정을 지나 이틀에 걸쳐 운전을 했어요. 주행거리는 어떻게 계산되나요?,타고PAY 플러스 주행거리는 자정을 포함 이틀에 걸쳐 주행이 발생한 경우 해당운행이 종료되고 차량 시동이 OFF 되면 주행을 시작한 시점에 해당하는 날짜 즉 전일 주행거리로 계산 돼요.
월 단위 청구 요금은 언제 확인할 수 있나요?,매월 1일 SK렌터카 홈페이지(앱)에서 예상 렌탈료를 안내해드리고 매월 15일경 전월 청구요금을 확인하실 수 있는 청구서를 보내드려요.
청구서 주행거리와 실제 주행거리에 차이가 있어요, 청구서에 주행거리의 이상이 확인되시면 7일 이내 SK렌터카 홈페이지(앱) 1:1 문의에 접수해 주시면 담당자가 신속하게 내용 접수/확인 후 연락 드릴게요. 원하는 자종 색상과 옵션이 없어요 새롭게 출시되는 타고PAY 플러스 상품은 더 좋은 고객 경험 제공을 위해 부득이 차종과 색상을 한정해서 운영하는 상품이에요.
loT 단말기는 무엇인가요?,loT 단말기는 SK렌터카 만의 독자적인 기술을 기반으로 단말기를 차량에 직접 연결해 실시간으로 차량 정보를 수집/전송할 수 있으며 이를 통해 차별화된 서비스를 제공하는 차량관리 플랫폼이에요.
loT 단말기를 설치하지 않아도 되나요?,타고PAY 플러스 상품은 IoT 단말기를 통해 수집된 정보를 기반으로 주행거리를 측정해 과금하는 상품이기 때문에 타고PAY 플러스 상품 모든 차량에는 IoT 단말기가 미리 설치되어 제공되요.
loT 단말기가 파손됐어요,단말기의 파손이 확인된 경우 임의로 수리하지 마시고 바로 SK렌터카 홈페이지(앱) 1:1 문의에 관련 내용을 접수해 주시면 신속하게 담당자가 고객님과 통화 후 조치해드릴게요.
홈페이지에서 주행내역이 확인되지 않아요,SK렌터카 홈페이지(앱)에서 주행내역이 확인되지 않으시면 1:1 문의를 통해 접수해주세요.담당자가 신속하게 불편사항을 해결해 드릴게요.
홈페이지에서 보이는 주행 거리와 차량 계기판 주행거리가 다른 것 같아요,홈페이지 주행거리는 차량 계기판의 데이터를 직접 수집하여 자동 계산되기 때문에 오류 가능성은 없어요.
자동차 정기 검사는 직접 해야하나요?,타고페이 고객님께서는 직접 정기검사를 하실 필요 없어요.
주행거리는 어떻게 계산되나요?,타고PAY 플러스 상품은 장착된 IoT 단말기를 통해 수집된 차량의 누적 주행거리가 자동으로 계산되어 매일 오전 9시 이후 SK렌터카 홈페이지를 통해서 확인 가능해요.
계약은 모든 연령이 가능한가요?,SK렌터카 타고PAY 플러스 상품은 만 21세 이상 계약/운전이 가능해요.
결제방법에는 무엇이 있나요?,타고PAY 플러스 상품은 신용카드만 결제가 가능해요.
