question,answer
신차렌트 선텍형(온라인)은 어떤 상품인가요?,장기 렌트의 편리함에 차를 살 때 탈 때 바꿀 때 필요한 6가지 특별한 혜택을 추가로 더한 상품 입니다.
신차렌트는 신차리스 상품과 무엇이 다른가요?,신차렌트는 하/허/호 번호판을 사용하며 월 납입금에 보험료가 포함되어 있습니다. 
자유반납은 중도해지 수수료가 없나요?,네 없습니다. 자유반납 옵션은 차량을 반납하는 조건으로 계약 시 48개월 계약 기준 24개월 후 차량을 해지하면 중도해지 수수료가 발생하지 않습니다.
이용 절차는 어떻게 되나요?,이 페이지에서 직접 맞춤 견적(자동차 선택 > 본인 확인 및 인증 > 간편 견적 확인 > 월 납입금 확인)을 통해 신청할 수 있습니다.
자유반납을 선택하면 어떤 점이 달라지나요?,이용 기간 24개월 이후부터는 중도해지 수수료 없이 자유롭게 차량을 반납할 수 있습니다.
중도해지도 할 수 있나요?,네 가능합니다. 단 중도해지 수수료는 고객이 부담해야 합니다.
만기 시 옵션은 어떻게 되나요?,만기가 되면 고객님의 상황에 따라 연장/반납/매입 중 하나를 자유롭게 선택할 수 있습니다.
고장이나 사고가 발생하면 어떻게 처리해야 하니요?,365일 24시간 운영하는 고객센터에서 정비/ 사고/ 긴급출동 관련 상담 서비스를 받을 수 있습니다.
재이용 혜택은 무엇인가요?,신차렌트 선택형(온라인)*을 다시 이용하면 월 납입금 20만원 할인을 1회 받을 수 있습니다.
신차렌트 선택형(온라인)차량 소유주는 누구인가요?,신차렌트 선택형(온라인) 차량 소유주는 렌트 계약을 체결한 현대캐피탈입니다.
